snapshot_date,file_path,linus_lines,total_lines
30-11-2025,.gitignore,26,185
30-11-2025,.mailmap,1,868
30-11-2025,COPYING,8,20
30-11-2025,CREDITS,3474,4537
30-11-2025,Kbuild,1,111
30-11-2025,MAINTAINERS,4402,28419
30-11-2025,Makefile,294,2158
30-11-2025,arch/Kconfig,10,1844
30-11-2025,arch/alpha/Kconfig,317,516
30-11-2025,arch/alpha/Kconfig.debug,36,38
30-11-2025,arch/alpha/Makefile,42,60
30-11-2025,arch/alpha/boot/Makefile,108,120
30-11-2025,arch/alpha/boot/bootloader.lds,24,25
30-11-2025,arch/alpha/boot/bootp.c,209,214
30-11-2025,arch/alpha/boot/bootpz.c,464,475
30-11-2025,arch/alpha/boot/head.S,122,124
30-11-2025,arch/alpha/boot/main.c,185,190
30-11-2025,arch/alpha/boot/misc.c,166,172
30-11-2025,arch/alpha/boot/tools/mkbb.c,148,153
30-11-2025,arch/alpha/boot/tools/objstrip.c,277,284
30-11-2025,arch/alpha/configs/defconfig,43,69
30-11-2025,arch/alpha/include/asm/agp_backend.h,42,43
30-11-2025,arch/alpha/include/asm/asm-prototypes.h,1,19
30-11-2025,arch/alpha/include/asm/atomic.h,29,271
30-11-2025,arch/alpha/include/asm/bitops.h,329,478
30-11-2025,arch/alpha/include/asm/bug.h,12,25
30-11-2025,arch/alpha/include/asm/cache.h,22,23
30-11-2025,arch/alpha/include/asm/cacheflush.h,48,69
30-11-2025,arch/alpha/include/asm/checksum.h,56,74
30-11-2025,arch/alpha/include/asm/compiler.h,5,7
30-11-2025,arch/alpha/include/asm/console.h,28,30
30-11-2025,arch/alpha/include/asm/core_cia.h,497,517
30-11-2025,arch/alpha/include/asm/core_irongate.h,232,233
30-11-2025,arch/alpha/include/asm/core_marvel.h,374,378
30-11-2025,arch/alpha/include/asm/core_mcpcia.h,373,404
30-11-2025,arch/alpha/include/asm/core_polaris.h,110,111
30-11-2025,arch/alpha/include/asm/core_t2.h,565,621
30-11-2025,arch/alpha/include/asm/core_titan.h,408,410
30-11-2025,arch/alpha/include/asm/core_tsunami.h,332,335
30-11-2025,arch/alpha/include/asm/core_wildfire.h,317,319
30-11-2025,arch/alpha/include/asm/delay.h,10,11
30-11-2025,arch/alpha/include/asm/dma-mapping.h,6,12
30-11-2025,arch/alpha/include/asm/dma.h,359,361
30-11-2025,arch/alpha/include/asm/elf.h,146,154
30-11-2025,arch/alpha/include/asm/err_common.h,118,119
30-11-2025,arch/alpha/include/asm/err_ev6.h,6,6
30-11-2025,arch/alpha/include/asm/err_ev7.h,202,203
30-11-2025,arch/alpha/include/asm/floppy.h,85,95
30-11-2025,arch/alpha/include/asm/fpu.h,47,89
30-11-2025,arch/alpha/include/asm/futex.h,1,95
30-11-2025,arch/alpha/include/asm/gct.h,58,59
30-11-2025,arch/alpha/include/asm/hardirq.h,4,10
30-11-2025,arch/alpha/include/asm/hw_irq.h,13,15
30-11-2025,arch/alpha/include/asm/hwrpb.h,218,221
30-11-2025,arch/alpha/include/asm/io.h,456,653
30-11-2025,arch/alpha/include/asm/io_trivial.h,114,144
30-11-2025,arch/alpha/include/asm/irq.h,80,86
30-11-2025,arch/alpha/include/asm/linkage.h,5,9
30-11-2025,arch/alpha/include/asm/local.h,10,109
30-11-2025,arch/alpha/include/asm/machvec.h,107,130
30-11-2025,arch/alpha/include/asm/mc146818rtc.h,27,28
30-11-2025,arch/alpha/include/asm/mmu.h,7,8
30-11-2025,arch/alpha/include/asm/mmu_context.h,199,222
30-11-2025,arch/alpha/include/asm/module.h,15,18
30-11-2025,arch/alpha/include/asm/page.h,76,88
30-11-2025,arch/alpha/include/asm/pal.h,5,187
30-11-2025,arch/alpha/include/asm/parport.h,16,19
30-11-2025,arch/alpha/include/asm/pci.h,75,91
30-11-2025,arch/alpha/include/asm/percpu.h,4,18
30-11-2025,arch/alpha/include/asm/pgalloc.h,30,36
30-11-2025,arch/alpha/include/asm/pgtable.h,238,336
30-11-2025,arch/alpha/include/asm/processor.h,46,57
30-11-2025,arch/alpha/include/asm/ptrace.h,11,27
30-11-2025,arch/alpha/include/asm/serial.h,23,30
30-11-2025,arch/alpha/include/asm/sfp-machine.h,82,82
30-11-2025,arch/alpha/include/asm/shmparam.h,6,7
30-11-2025,arch/alpha/include/asm/signal.h,25,28
30-11-2025,arch/alpha/include/asm/smp.h,54,60
30-11-2025,arch/alpha/include/asm/socket.h,5,11
30-11-2025,arch/alpha/include/asm/spinlock.h,133,163
30-11-2025,arch/alpha/include/asm/string.h,53,80
30-11-2025,arch/alpha/include/asm/thread_info.h,58,126
30-11-2025,arch/alpha/include/asm/timex.h,31,33
30-11-2025,arch/alpha/include/asm/tlb.h,7,10
30-11-2025,arch/alpha/include/asm/tlbflush.h,110,119
30-11-2025,arch/alpha/include/asm/topology.h,9,12
30-11-2025,arch/alpha/include/asm/types.h,5,7
30-11-2025,arch/alpha/include/asm/uaccess.h,133,212
30-11-2025,arch/alpha/include/asm/ucontext.h,13,14
30-11-2025,arch/alpha/include/asm/unistd.h,14,22
30-11-2025,arch/alpha/include/asm/user.h,46,48
30-11-2025,arch/alpha/include/asm/vga.h,46,85
30-11-2025,arch/alpha/include/asm/xor.h,829,866
30-11-2025,arch/alpha/include/uapi/asm/byteorder.h,6,7
30-11-2025,arch/alpha/include/uapi/asm/errno.h,118,128
30-11-2025,arch/alpha/include/uapi/asm/fcntl.h,36,58
30-11-2025,arch/alpha/include/uapi/asm/gentrap.h,37,38
30-11-2025,arch/alpha/include/uapi/asm/ioctl.h,66,67
30-11-2025,arch/alpha/include/uapi/asm/ioctls.h,110,128
30-11-2025,arch/alpha/include/uapi/asm/mman.h,47,92
30-11-2025,arch/alpha/include/uapi/asm/posix_types.h,14,18
30-11-2025,arch/alpha/include/uapi/asm/reg.h,52,53
30-11-2025,arch/alpha/include/uapi/asm/regdef.h,44,45
30-11-2025,arch/alpha/include/uapi/asm/resource.h,22,23
30-11-2025,arch/alpha/include/uapi/asm/setup.h,3,7
30-11-2025,arch/alpha/include/uapi/asm/sigcontext.h,34,35
30-11-2025,arch/alpha/include/uapi/asm/siginfo.h,6,7
30-11-2025,arch/alpha/include/uapi/asm/sockios.h,14,17
30-11-2025,arch/alpha/include/uapi/asm/stat.h,48,49
30-11-2025,arch/alpha/include/uapi/asm/statfs.h,6,13
30-11-2025,arch/alpha/include/uapi/asm/sysinfo.h,30,32
30-11-2025,arch/alpha/include/uapi/asm/termbits.h,53,167
30-11-2025,arch/alpha/kernel/Makefile,74,91
30-11-2025,arch/alpha/kernel/asm-offsets.c,21,32
30-11-2025,arch/alpha/kernel/console.c,42,96
30-11-2025,arch/alpha/kernel/core_cia.c,1203,1213
30-11-2025,arch/alpha/kernel/core_irongate.c,409,416
30-11-2025,arch/alpha/kernel/core_marvel.c,1049,1096
30-11-2025,arch/alpha/kernel/core_mcpcia.c,604,616
30-11-2025,arch/alpha/kernel/core_polaris.c,200,203
30-11-2025,arch/alpha/kernel/core_t2.c,601,624
30-11-2025,arch/alpha/kernel/core_titan.c,744,802
30-11-2025,arch/alpha/kernel/core_tsunami.c,438,484
30-11-2025,arch/alpha/kernel/core_wildfire.c,620,633
30-11-2025,arch/alpha/kernel/entry.S,373,849
30-11-2025,arch/alpha/kernel/err_common.c,320,321
30-11-2025,arch/alpha/kernel/err_ev6.c,263,276
30-11-2025,arch/alpha/kernel/err_ev7.c,279,287
