snapshot_date,file_path,linus_lines,total_lines
07-02-2026,arch/alpha/lib/ev6-clear_user.S,225,225
07-02-2026,arch/alpha/lib/ev6-copy_page.S,203,203
07-02-2026,arch/alpha/lib/ev6-copy_user.S,259,259
07-02-2026,arch/alpha/lib/ev6-csum_ipv6_magic.S,126,126
07-02-2026,arch/alpha/lib/ev6-divide.S,259,259
07-02-2026,arch/alpha/lib/ev6-memchr.S,191,191
07-02-2026,arch/alpha/lib/ev6-memcpy.S,248,248
07-02-2026,arch/alpha/lib/ev6-memset.S,597,597
07-02-2026,arch/alpha/lib/ev6-strncpy_from_user.S,424,424
07-02-2026,arch/alpha/lib/ev6-stxcpy.S,321,321
07-02-2026,arch/alpha/lib/ev6-stxncpy.S,397,397
07-02-2026,arch/alpha/lib/ev67-strcat.S,54,54
07-02-2026,arch/alpha/lib/ev67-strchr.S,88,88
07-02-2026,arch/alpha/lib/ev67-strlen.S,49,49
07-02-2026,arch/alpha/lib/ev67-strlen_user.S,107,107
07-02-2026,arch/alpha/lib/ev67-strncat.S,94,94
07-02-2026,arch/alpha/lib/ev67-strrchr.S,109,109
07-02-2026,arch/alpha/lib/fpreg.c,193,193
07-02-2026,arch/alpha/lib/memchr.S,164,164
07-02-2026,arch/alpha/lib/memcpy.c,163,163
07-02-2026,arch/alpha/lib/memmove.S,181,181
07-02-2026,arch/alpha/lib/memset.S,124,124
07-02-2026,arch/alpha/lib/srm_printk.c,41,41
07-02-2026,arch/alpha/lib/srm_puts.c,23,23
07-02-2026,arch/alpha/lib/stacktrace.c,103,103
07-02-2026,arch/alpha/lib/strcasecmp.c,26,26
07-02-2026,arch/alpha/lib/strcat.S,52,52
07-02-2026,arch/alpha/lib/strchr.S,70,70
07-02-2026,arch/alpha/lib/strcpy.S,23,23
07-02-2026,arch/alpha/lib/strlen.S,57,57
07-02-2026,arch/alpha/lib/strlen_user.S,91,91
07-02-2026,arch/alpha/lib/strncat.S,84,84
07-02-2026,arch/alpha/lib/strncpy.S,81,81
07-02-2026,arch/alpha/lib/strncpy_from_user.S,339,339
07-02-2026,arch/alpha/lib/strrchr.S,87,87
07-02-2026,arch/alpha/lib/stxcpy.S,289,289
07-02-2026,arch/alpha/lib/stxncpy.S,345,345
07-02-2026,arch/alpha/lib/udelay.c,55,55
07-02-2026,arch/alpha/math-emu/Makefile,9,9
07-02-2026,arch/alpha/math-emu/math.c,400,400
07-02-2026,arch/alpha/math-emu/qrnnd.S,163,163
07-02-2026,arch/alpha/math-emu/sfp-util.h,35,35
07-02-2026,arch/alpha/mm/Makefile,9,9
07-02-2026,arch/alpha/mm/extable.c,34,34
07-02-2026,arch/alpha/mm/fault.c,247,247
07-02-2026,arch/alpha/mm/init.c,382,382
07-02-2026,arch/alpha/mm/numa.c,395,395
07-02-2026,arch/alpha/mm/remap.c,90,90
07-02-2026,arch/alpha/oprofile/Kconfig,23,23
07-02-2026,arch/alpha/oprofile/Makefile,19,19
07-02-2026,arch/alpha/oprofile/common.c,189,189
07-02-2026,arch/alpha/oprofile/op_impl.h,55,55
07-02-2026,arch/alpha/oprofile/op_model_ev4.c,116,116
07-02-2026,arch/alpha/oprofile/op_model_ev5.c,211,211
07-02-2026,arch/alpha/oprofile/op_model_ev6.c,103,103
07-02-2026,arch/alpha/oprofile/op_model_ev67.c,263,263
07-02-2026,arch/arm/Kconfig,726,746
07-02-2026,arch/arm/Kconfig.debug,109,109
07-02-2026,arch/arm/Makefile,216,216
07-02-2026,arch/arm/boot/Makefile,91,91
07-02-2026,arch/arm/boot/bootp/Makefile,24,24
07-02-2026,arch/arm/boot/bootp/bootp.lds,30,30
07-02-2026,arch/arm/boot/bootp/init.S,86,86
07-02-2026,arch/arm/boot/bootp/initrd.S,6,6
07-02-2026,arch/arm/boot/bootp/kernel.S,6,6
07-02-2026,arch/arm/boot/compressed/Makefile,114,114
07-02-2026,arch/arm/boot/compressed/Makefile.debug,23,23
07-02-2026,arch/arm/boot/compressed/big-endian.S,13,13
07-02-2026,arch/arm/boot/compressed/head-clps7500.S,87,87
07-02-2026,arch/arm/boot/compressed/head-epxa10db.S,5,5
07-02-2026,arch/arm/boot/compressed/head-l7200.S,30,30
07-02-2026,arch/arm/boot/compressed/head-sa1100.S,48,48
07-02-2026,arch/arm/boot/compressed/head-shark.S,115,115
07-02-2026,arch/arm/boot/compressed/head-sharpsl.S,92,92
07-02-2026,arch/arm/boot/compressed/head-xscale.S,49,56
07-02-2026,arch/arm/boot/compressed/head.S,703,725
07-02-2026,arch/arm/boot/compressed/ice-dcc.S,17,17
07-02-2026,arch/arm/boot/compressed/ll_char_wr.S,134,134
07-02-2026,arch/arm/boot/compressed/misc.c,329,329
07-02-2026,arch/arm/boot/compressed/ofw-shark.c,260,260
07-02-2026,arch/arm/boot/compressed/piggy.S,6,6
07-02-2026,arch/arm/boot/compressed/vmlinux.lds.in,55,55
07-02-2026,arch/arm/boot/install.sh,52,52
07-02-2026,arch/arm/common/Kconfig,24,24
07-02-2026,arch/arm/common/Makefile,15,15
07-02-2026,arch/arm/common/amba.c,357,357
07-02-2026,arch/arm/common/dmabounce.c,682,682
07-02-2026,arch/arm/common/icst307.c,161,161
07-02-2026,arch/arm/common/icst525.c,160,160
07-02-2026,arch/arm/common/locomo.c,1058,1058
07-02-2026,arch/arm/common/rtctime.c,492,507
07-02-2026,arch/arm/common/sa1111.c,1292,1292
07-02-2026,arch/arm/common/scoop.c,176,176
07-02-2026,arch/arm/common/sharpsl_param.c,60,60
07-02-2026,arch/arm/common/time-acorn.c,96,96
07-02-2026,arch/arm/common/via82c505.c,94,94
07-02-2026,arch/arm/configs/assabet_defconfig,906,906
07-02-2026,arch/arm/configs/badge4_defconfig,1229,1247
07-02-2026,arch/arm/configs/bast_defconfig,952,952
07-02-2026,arch/arm/configs/cerfcube_defconfig,905,905
07-02-2026,arch/arm/configs/clps7500_defconfig,803,803
07-02-2026,arch/arm/configs/ebsa110_defconfig,749,749
07-02-2026,arch/arm/configs/edb7211_defconfig,575,575
07-02-2026,arch/arm/configs/enp2611_defconfig,887,887
07-02-2026,arch/arm/configs/ep80219_defconfig,952,952
07-02-2026,arch/arm/configs/epxa10db_defconfig,644,644
07-02-2026,arch/arm/configs/footbridge_defconfig,1257,1257
07-02-2026,arch/arm/configs/fortunet_defconfig,558,558
07-02-2026,arch/arm/configs/h3600_defconfig,904,919
07-02-2026,arch/arm/configs/h7201_defconfig,567,567
07-02-2026,arch/arm/configs/h7202_defconfig,732,732
07-02-2026,arch/arm/configs/hackkit_defconfig,758,770
07-02-2026,arch/arm/configs/integrator_defconfig,864,864
07-02-2026,arch/arm/configs/iq31244_defconfig,922,922
07-02-2026,arch/arm/configs/iq80321_defconfig,843,843
07-02-2026,arch/arm/configs/iq80331_defconfig,916,916
07-02-2026,arch/arm/configs/iq80332_defconfig,916,916
07-02-2026,arch/arm/configs/ixdp2400_defconfig,888,888
07-02-2026,arch/arm/configs/ixdp2401_defconfig,889,889
07-02-2026,arch/arm/configs/ixdp2800_defconfig,887,888
07-02-2026,arch/arm/configs/ixdp2801_defconfig,889,889
07-02-2026,arch/arm/configs/ixp4xx_defconfig,1164,1164
07-02-2026,arch/arm/configs/jornada720_defconfig,919,919
07-02-2026,arch/arm/configs/lart_defconfig,877,877
07-02-2026,arch/arm/configs/lpd7a400_defconfig,781,781
07-02-2026,arch/arm/configs/lpd7a404_defconfig,919,919
07-02-2026,arch/arm/configs/lubbock_defconfig,803,803
07-02-2026,arch/arm/configs/lusl7200_defconfig,455,455
07-02-2026,arch/arm/configs/mainstone_defconfig,797,797
07-02-2026,arch/arm/configs/mx1ads_defconfig,745,745
07-02-2026,arch/arm/configs/neponset_defconfig,1145,1145
07-02-2026,arch/arm/configs/netwinder_defconfig,1046,1046
07-02-2026,arch/arm/configs/omap_h2_1610_defconfig,971,971
07-02-2026,arch/arm/configs/omnimeter_defconfig,803,803
07-02-2026,arch/arm/configs/pleb_defconfig,749,749
07-02-2026,arch/arm/configs/pxa255-idp_defconfig,799,799
07-02-2026,arch/arm/configs/rpc_defconfig,939,939
07-02-2026,arch/arm/configs/s3c2410_defconfig,954,954
07-02-2026,arch/arm/configs/shannon_defconfig,872,872
07-02-2026,arch/arm/configs/shark_defconfig,974,974
07-02-2026,arch/arm/configs/simpad_defconfig,964,964
07-02-2026,arch/arm/configs/smdk2410_defconfig,736,736
07-02-2026,arch/arm/configs/versatile_defconfig,902,902
07-02-2026,arch/arm/kernel/Makefile,33,33
07-02-2026,arch/arm/kernel/apm.c,610,610
07-02-2026,arch/arm/kernel/arch.c,46,46
07-02-2026,arch/arm/kernel/armksyms.c,175,175
07-02-2026,arch/arm/kernel/arthur.c,91,91
07-02-2026,arch/arm/kernel/asm-offsets.c,83,103
07-02-2026,arch/arm/kernel/bios32.c,699,699
07-02-2026,arch/arm/kernel/calls.S,335,335
07-02-2026,arch/arm/kernel/compat.c,225,225
07-02-2026,arch/arm/kernel/debug.S,106,106
07-02-2026,arch/arm/kernel/dma-isa.c,207,207
07-02-2026,arch/arm/kernel/dma.c,302,302
07-02-2026,arch/arm/kernel/ecard.c,1210,1210
07-02-2026,arch/arm/kernel/entry-armv.S,705,947
07-02-2026,arch/arm/kernel/entry-common.S,239,283
07-02-2026,arch/arm/kernel/entry-header.S,60,85
07-02-2026,arch/arm/kernel/fiq.c,181,181
07-02-2026,arch/arm/kernel/head.S,515,517
07-02-2026,arch/arm/kernel/init_task.c,44,44
07-02-2026,arch/arm/kernel/io.c,51,51
07-02-2026,arch/arm/kernel/irq.c,1038,1038
07-02-2026,arch/arm/kernel/isa.c,53,53
07-02-2026,arch/arm/kernel/iwmmxt.S,320,320
07-02-2026,arch/arm/kernel/module.c,152,152
07-02-2026,arch/arm/kernel/process.c,443,466
07-02-2026,arch/arm/kernel/ptrace.c,859,862
07-02-2026,arch/arm/kernel/ptrace.h,12,12
07-02-2026,arch/arm/kernel/semaphore.c,220,220
07-02-2026,arch/arm/kernel/setup.c,875,875
07-02-2026,arch/arm/kernel/signal.c,748,748
07-02-2026,arch/arm/kernel/smp.c,396,396
07-02-2026,arch/arm/kernel/sys_arm.c,310,313
07-02-2026,arch/arm/kernel/time.c,402,402
07-02-2026,arch/arm/kernel/traps.c,576,688
07-02-2026,arch/arm/kernel/vmlinux.lds.S,165,167
07-02-2026,arch/arm/lib/Makefile,29,29
07-02-2026,arch/arm/lib/ashldi3.c,61,61
07-02-2026,arch/arm/lib/ashrdi3.c,61,61
07-02-2026,arch/arm/lib/backtrace.S,157,157
07-02-2026,arch/arm/lib/changebit.S,19,21
07-02-2026,arch/arm/lib/clearbit.S,20,22
07-02-2026,arch/arm/lib/copy_page.S,46,46
07-02-2026,arch/arm/lib/csumipv6.S,32,32
07-02-2026,arch/arm/lib/csumpartial.S,137,137
07-02-2026,arch/arm/lib/csumpartialcopy.S,52,52
07-02-2026,arch/arm/lib/csumpartialcopygeneric.S,331,331
07-02-2026,arch/arm/lib/csumpartialcopyuser.S,104,104
07-02-2026,arch/arm/lib/delay.S,58,58
