snapshot_date,file_path,linus_lines,total_lines
13-12-2020,.gitignore,28,157
13-12-2020,.mailmap,1,345
13-12-2020,COPYING,8,20
13-12-2020,CREDITS,3488,4226
13-12-2020,Kbuild,1,59
13-12-2020,MAINTAINERS,4483,19487
13-12-2020,Makefile,373,1955
13-12-2020,arch/Kconfig,6,1044
13-12-2020,arch/alpha/Kconfig,493,700
13-12-2020,arch/alpha/Kconfig.debug,36,38
13-12-2020,arch/alpha/Makefile,50,72
13-12-2020,arch/alpha/boot/Makefile,108,120
13-12-2020,arch/alpha/boot/bootloader.lds,24,25
13-12-2020,arch/alpha/boot/bootp.c,211,214
13-12-2020,arch/alpha/boot/bootpz.c,466,475
13-12-2020,arch/alpha/boot/head.S,122,124
13-12-2020,arch/alpha/boot/main.c,186,190
13-12-2020,arch/alpha/boot/misc.c,169,174
13-12-2020,arch/alpha/boot/tools/mkbb.c,148,153
13-12-2020,arch/alpha/boot/tools/objstrip.c,277,284
13-12-2020,arch/alpha/configs/defconfig,56,74
13-12-2020,arch/alpha/include/asm/a.out.h,13,16
13-12-2020,arch/alpha/include/asm/agp.h,12,19
13-12-2020,arch/alpha/include/asm/agp_backend.h,42,43
13-12-2020,arch/alpha/include/asm/atomic.h,29,300
13-12-2020,arch/alpha/include/asm/bitops.h,350,461
13-12-2020,arch/alpha/include/asm/bug.h,12,25
13-12-2020,arch/alpha/include/asm/bugs.h,20,20
13-12-2020,arch/alpha/include/asm/cache.h,22,23
13-12-2020,arch/alpha/include/asm/cacheflush.h,50,62
13-12-2020,arch/alpha/include/asm/checksum.h,56,74
13-12-2020,arch/alpha/include/asm/compiler.h,14,18
13-12-2020,arch/alpha/include/asm/console.h,28,30
13-12-2020,arch/alpha/include/asm/core_apecs.h,514,518
13-12-2020,arch/alpha/include/asm/core_cia.h,497,501
13-12-2020,arch/alpha/include/asm/core_irongate.h,232,233
13-12-2020,arch/alpha/include/asm/core_lca.h,357,362
13-12-2020,arch/alpha/include/asm/core_marvel.h,374,378
13-12-2020,arch/alpha/include/asm/core_mcpcia.h,373,382
13-12-2020,arch/alpha/include/asm/core_polaris.h,110,111
13-12-2020,arch/alpha/include/asm/core_t2.h,573,615
13-12-2020,arch/alpha/include/asm/core_titan.h,408,410
13-12-2020,arch/alpha/include/asm/core_tsunami.h,332,335
13-12-2020,arch/alpha/include/asm/core_wildfire.h,317,319
13-12-2020,arch/alpha/include/asm/delay.h,10,11
13-12-2020,arch/alpha/include/asm/div64.h,1,1
13-12-2020,arch/alpha/include/asm/dma-mapping.h,6,16
13-12-2020,arch/alpha/include/asm/dma.h,376,377
13-12-2020,arch/alpha/include/asm/elf.h,158,166
13-12-2020,arch/alpha/include/asm/err_common.h,118,119
13-12-2020,arch/alpha/include/asm/err_ev6.h,6,6
13-12-2020,arch/alpha/include/asm/err_ev7.h,202,203
13-12-2020,arch/alpha/include/asm/floppy.h,108,113
13-12-2020,arch/alpha/include/asm/fpu.h,71,76
13-12-2020,arch/alpha/include/asm/futex.h,1,95
13-12-2020,arch/alpha/include/asm/gct.h,58,59
13-12-2020,arch/alpha/include/asm/hardirq.h,4,10
13-12-2020,arch/alpha/include/asm/hw_irq.h,13,15
13-12-2020,arch/alpha/include/asm/hwrpb.h,220,221
