snapshot_date,file_path,linus_lines,total_lines
28-01-2018,arch/alpha/include/uapi/asm/msgbuf.h,27,28
28-01-2018,arch/alpha/include/uapi/asm/posix_types.h,14,18
28-01-2018,arch/alpha/include/uapi/asm/reg.h,52,53
28-01-2018,arch/alpha/include/uapi/asm/regdef.h,44,45
28-01-2018,arch/alpha/include/uapi/asm/resource.h,22,23
28-01-2018,arch/alpha/include/uapi/asm/sembuf.h,22,23
28-01-2018,arch/alpha/include/uapi/asm/setup.h,6,43
28-01-2018,arch/alpha/include/uapi/asm/shmbuf.h,38,39
28-01-2018,arch/alpha/include/uapi/asm/sigcontext.h,34,35
28-01-2018,arch/alpha/include/uapi/asm/siginfo.h,9,24
28-01-2018,arch/alpha/include/uapi/asm/sockios.h,14,17
28-01-2018,arch/alpha/include/uapi/asm/stat.h,48,49
28-01-2018,arch/alpha/include/uapi/asm/statfs.h,6,13
28-01-2018,arch/alpha/include/uapi/asm/sysinfo.h,30,32
28-01-2018,arch/alpha/include/uapi/asm/termbits.h,186,202
28-01-2018,arch/alpha/kernel/Makefile,88,112
28-01-2018,arch/alpha/kernel/asm-offsets.c,34,44
28-01-2018,arch/alpha/kernel/console.c,42,94
28-01-2018,arch/alpha/kernel/core_apecs.c,415,419
28-01-2018,arch/alpha/kernel/core_cia.c,1209,1213
28-01-2018,arch/alpha/kernel/core_irongate.c,414,420
28-01-2018,arch/alpha/kernel/core_lca.c,510,516
28-01-2018,arch/alpha/kernel/core_marvel.c,1108,1141
28-01-2018,arch/alpha/kernel/core_mcpcia.c,606,614
28-01-2018,arch/alpha/kernel/core_polaris.c,200,203
28-01-2018,arch/alpha/kernel/core_t2.c,603,624
28-01-2018,arch/alpha/kernel/core_titan.c,748,801
28-01-2018,arch/alpha/kernel/core_tsunami.c,441,482
28-01-2018,arch/alpha/kernel/core_wildfire.c,655,658
28-01-2018,arch/alpha/kernel/entry.S,484,858
28-01-2018,arch/alpha/kernel/err_common.c,320,321
28-01-2018,arch/alpha/kernel/err_ev6.c,263,276
28-01-2018,arch/alpha/kernel/err_ev7.c,279,287
28-01-2018,arch/alpha/kernel/err_impl.h,80,88
28-01-2018,arch/alpha/kernel/err_marvel.c,1115,1161
28-01-2018,arch/alpha/kernel/err_titan.c,715,761
28-01-2018,arch/alpha/kernel/es1888.c,49,50
28-01-2018,arch/alpha/kernel/gct.c,47,48
28-01-2018,arch/alpha/kernel/head.S,92,99
28-01-2018,arch/alpha/kernel/io.c,630,631
28-01-2018,arch/alpha/kernel/irq.c,90,123
28-01-2018,arch/alpha/kernel/irq_alpha.c,213,244
28-01-2018,arch/alpha/kernel/irq_i8259.c,149,167
28-01-2018,arch/alpha/kernel/irq_impl.h,31,41
28-01-2018,arch/alpha/kernel/irq_pyxis.c,94,111
28-01-2018,arch/alpha/kernel/irq_srm.c,49,65
28-01-2018,arch/alpha/kernel/machvec_impl.h,144,155
28-01-2018,arch/alpha/kernel/module.c,266,285
28-01-2018,arch/alpha/kernel/osf_sys.c,960,1440
28-01-2018,arch/alpha/kernel/pci-noop.c,114,138
28-01-2018,arch/alpha/kernel/pci.c,353,466
28-01-2018,arch/alpha/kernel/pci_impl.h,188,194
28-01-2018,arch/alpha/kernel/pci_iommu.c,751,955
28-01-2018,arch/alpha/kernel/process.c,314,402
28-01-2018,arch/alpha/kernel/proto.h,187,223
28-01-2018,arch/alpha/kernel/ptrace.c,267,339
28-01-2018,arch/alpha/kernel/setup.c,1417,1534
28-01-2018,arch/alpha/kernel/signal.c,434,553
28-01-2018,arch/alpha/kernel/smc37c669.c,2534,2538
28-01-2018,arch/alpha/kernel/smc37c93x.c,273,275
28-01-2018,arch/alpha/kernel/smp.c,714,780
28-01-2018,arch/alpha/kernel/srm_env.c,180,235
28-01-2018,arch/alpha/kernel/srmcons.c,255,296
28-01-2018,arch/alpha/kernel/sys_alcor.c,281,309
28-01-2018,arch/alpha/kernel/sys_cabriolet.c,398,444
28-01-2018,arch/alpha/kernel/sys_dp264.c,573,666
