snapshot_date,file_path,linus_lines,total_lines
21-07-2011,.gitignore,36,81
21-07-2011,COPYING,354,356
21-07-2011,CREDITS,3575,3958
21-07-2011,MAINTAINERS,899,7145
21-07-2011,Makefile,805,1567
21-07-2011,README,267,376
21-07-2011,REPORTING-BUGS,38,68
21-07-2011,arch/alpha/Kconfig,567,676
21-07-2011,arch/alpha/Kconfig.debug,42,42
21-07-2011,arch/alpha/Makefile,51,69
21-07-2011,arch/alpha/boot/Makefile,115,116
21-07-2011,arch/alpha/boot/bootloader.lds,24,24
21-07-2011,arch/alpha/boot/bootp.c,213,215
21-07-2011,arch/alpha/boot/bootpz.c,468,476
21-07-2011,arch/alpha/boot/head.S,123,123
21-07-2011,arch/alpha/boot/main.c,189,192
21-07-2011,arch/alpha/boot/misc.c,169,173
21-07-2011,arch/alpha/boot/tools/mkbb.c,148,152
21-07-2011,arch/alpha/boot/tools/objstrip.c,277,280
21-07-2011,arch/alpha/defconfig,59,76
21-07-2011,arch/alpha/include/asm/8253pit.h,3,3
21-07-2011,arch/alpha/include/asm/a.out.h,100,102
21-07-2011,arch/alpha/include/asm/agp.h,12,18
21-07-2011,arch/alpha/include/asm/agp_backend.h,42,42
21-07-2011,arch/alpha/include/asm/atomic.h,181,260
21-07-2011,arch/alpha/include/asm/bitops.h,355,464
21-07-2011,arch/alpha/include/asm/bug.h,12,24
21-07-2011,arch/alpha/include/asm/bugs.h,20,20
21-07-2011,arch/alpha/include/asm/byteorder.h,6,6
21-07-2011,arch/alpha/include/asm/cache.h,22,22
21-07-2011,arch/alpha/include/asm/cacheflush.h,72,77
21-07-2011,arch/alpha/include/asm/checksum.h,59,75
21-07-2011,arch/alpha/include/asm/compiler.h,90,130
21-07-2011,arch/alpha/include/asm/console.h,75,75
21-07-2011,arch/alpha/include/asm/core_apecs.h,517,517
21-07-2011,arch/alpha/include/asm/core_cia.h,500,500
21-07-2011,arch/alpha/include/asm/core_irongate.h,232,232
21-07-2011,arch/alpha/include/asm/core_lca.h,361,361
21-07-2011,arch/alpha/include/asm/core_marvel.h,377,377
21-07-2011,arch/alpha/include/asm/core_mcpcia.h,376,380
21-07-2011,arch/alpha/include/asm/core_polaris.h,110,110
21-07-2011,arch/alpha/include/asm/core_t2.h,575,615
21-07-2011,arch/alpha/include/asm/core_titan.h,408,409
21-07-2011,arch/alpha/include/asm/core_tsunami.h,332,334
21-07-2011,arch/alpha/include/asm/core_wildfire.h,317,318
21-07-2011,arch/alpha/include/asm/cputime.h,6,6
21-07-2011,arch/alpha/include/asm/current.h,8,9
21-07-2011,arch/alpha/include/asm/delay.h,10,10
21-07-2011,arch/alpha/include/asm/div64.h,1,1
21-07-2011,arch/alpha/include/asm/dma-mapping.h,16,47
21-07-2011,arch/alpha/include/asm/dma.h,376,376
21-07-2011,arch/alpha/include/asm/elf.h,158,164
21-07-2011,arch/alpha/include/asm/err_common.h,118,118
21-07-2011,arch/alpha/include/asm/err_ev6.h,6,6
21-07-2011,arch/alpha/include/asm/err_ev7.h,202,202
21-07-2011,arch/alpha/include/asm/errno.h,119,127
21-07-2011,arch/alpha/include/asm/fcntl.h,38,58
21-07-2011,arch/alpha/include/asm/floppy.h,113,115
21-07-2011,arch/alpha/include/asm/fpu.h,191,193
21-07-2011,arch/alpha/include/asm/gct.h,58,58
21-07-2011,arch/alpha/include/asm/gentrap.h,37,37
21-07-2011,arch/alpha/include/asm/hardirq.h,4,9
21-07-2011,arch/alpha/include/asm/hw_irq.h,13,14
21-07-2011,arch/alpha/include/asm/hwrpb.h,220,220
21-07-2011,arch/alpha/include/asm/io.h,557,576
21-07-2011,arch/alpha/include/asm/io_trivial.h,123,131
21-07-2011,arch/alpha/include/asm/ioctl.h,66,66
21-07-2011,arch/alpha/include/asm/ioctls.h,110,114
21-07-2011,arch/alpha/include/asm/ipcbuf.h,28,28
21-07-2011,arch/alpha/include/asm/irq.h,91,91
21-07-2011,arch/alpha/include/asm/jensen.h,346,346
21-07-2011,arch/alpha/include/asm/kmap_types.h,11,14
21-07-2011,arch/alpha/include/asm/linkage.h,6,6
21-07-2011,arch/alpha/include/asm/local.h,11,101
21-07-2011,arch/alpha/include/asm/machvec.h,132,138
21-07-2011,arch/alpha/include/asm/mc146818rtc.h,27,27
21-07-2011,arch/alpha/include/asm/mman.h,49,62
21-07-2011,arch/alpha/include/asm/mmu.h,7,7
21-07-2011,arch/alpha/include/asm/mmu_context.h,250,260
21-07-2011,arch/alpha/include/asm/mmzone.h,111,114
21-07-2011,arch/alpha/include/asm/module.h,23,23
21-07-2011,arch/alpha/include/asm/msgbuf.h,27,27
21-07-2011,arch/alpha/include/asm/page.h,89,98
21-07-2011,arch/alpha/include/asm/pal.h,51,51
21-07-2011,arch/alpha/include/asm/param.h,22,27
21-07-2011,arch/alpha/include/asm/parport.h,18,18
21-07-2011,arch/alpha/include/asm/pci.h,101,143
21-07-2011,arch/alpha/include/asm/percpu.h,4,18
21-07-2011,arch/alpha/include/asm/pgalloc.h,65,88
21-07-2011,arch/alpha/include/asm/pgtable.h,343,378
21-07-2011,arch/alpha/include/asm/posix_types.h,122,123
21-07-2011,arch/alpha/include/asm/processor.h,86,93
21-07-2011,arch/alpha/include/asm/ptrace.h,79,84
21-07-2011,arch/alpha/include/asm/reg.h,52,52
21-07-2011,arch/alpha/include/asm/regdef.h,44,44
21-07-2011,arch/alpha/include/asm/resource.h,22,22
21-07-2011,arch/alpha/include/asm/rtc.h,7,16
21-07-2011,arch/alpha/include/asm/rwsem.h,223,223
21-07-2011,arch/alpha/include/asm/scatterlist.h,5,6
21-07-2011,arch/alpha/include/asm/sections.h,7,7
21-07-2011,arch/alpha/include/asm/segment.h,6,6
21-07-2011,arch/alpha/include/asm/sembuf.h,22,22
21-07-2011,arch/alpha/include/asm/serial.h,28,29
21-07-2011,arch/alpha/include/asm/setup.h,6,6
